EBD,DMF,EI,LSI,AGE,HSAA,HFA,SRH,PHL,DV,UWHF,MUF,SD,ST,EPK,GEN,LSC,EDU,PAI,PSM,Y
2,2,2,2,65,3,3,3,2,2,3,2,2,3,-1,2,306,4,0,1,2
1,3,2,3,67,2,3,2,3,2,5,4,2,3,2,2,119,3,1000,-1,2
1,5,1,1,80,1,1,2,1,1,3,2,2,4,-3,1,370,4,5,-1,1
1,5,1,1,74,2,4,2,1,4,3,3,2,3,0,1,288,3,0,-1,1
2,5,2,2,61,3,3,3,2,2,3,2,2,3,0,2,220,9,1000,2,2
2,5,2,2,61,3,3,3,2,2,3,2,2,3,-2,1,222,12,10,0,2
2,5,2,2,43,3,3,3,2,2,3,2,2,3,2,1,90,9,7,2,2
2,4,2,2,53,3,3,3,2,2,3,2,2,3,0,1,200,4,3,0,2
3,3,1,1,83,1,1,2,2,4,2,2,3,4,4,2,119,3,0,-4,3
2,5,2,2,55,3,3,3,2,2,3,2,2,3,1,1,100,3,2,0,2
2,5,3,2,55,3,4,3,1,3,5,3,2,3,0,1,95,10,20,0,2
2,3,2,2,49,3,3,3,2,2,3,2,2,3,3,2,119,4,1000,1,2
2,5,2,2,75,3,3,3,2,2,3,2,2,3,0,2,119,4,0,0,2
1,3,3,2,26,3,3,2,2,3,3,4,3,3,0,2,200,10,1,0,1
1,5,1,4,68,3,3,2,4,4,1,2,1,2,0,1,90,3,1,-1,1
2,3,2,2,56,3,3,3,2,2,3,2,2,3,0,1,110,3,2,0,2
2,2,2,2,56,3,3,3,2,2,3,2,2,3,0,2,118,3,0,0,2
1,4,2,2,38,2,3,5,1,4,2,2,1,4,-2,1,150,4,8,4,2
2,5,2,2,67,3,3,3,2,2,3,2,2,3,0,1,110,1,1,0,2
2,3,2,2,44,3,3,3,2,2,3,2,2,3,0,2,120,4,1,0,2
2,4,2,2,51,4,4,2,2,4,3,2,2,2,4,2,200,3,1,1,2
2,5,2,2,52,3,3,3,2,2,3,2,2,3,-3,1,120,3,3,-1,2
2,5,2,2,80,3,3,3,2,2,3,2,2,3,1,1,110,3,1,1,2
2,5,2,2,37,3,3,3,2,2,3,2,2,3,0,2,90,4,10,-1,2
3,3,3,2,41,4,4,2,3,3,4,3,2,2,1,2,119,4,3,1,3
2,5,2,2,39,3,3,3,2,2,3,2,2,3,4,1,100,4,3,1,2
1,5,5,1,88,1,2,4,2,2,1,3,1,4,1,1,90,4,0,-2,1
5,2,4,5,76,4,4,1,5,5,4,3,1,4,-2,1,70,3,0,1,5
2,5,2,2,37,3,3,3,2,2,3,2,2,3,2,1,119,3,1000,-2,2
2,2,2,2,62,3,3,3,2,2,3,2,2,3,1,2,120,1,1,3,2
2,3,2,2,45,3,3,3,2,2,3,2,2,3,0,2,119,4,1,0,2
2,3,2,2,49,3,3,3,2,2,3,2,2,3,0,1,70,4,3,0,2
1,5,1,1,51,4,2,4,1,1,4,2,1,4,2,1,300,4,3,0,1
2,2,2,2,61,3,3,3,2,2,3,2,2,3,1,2,119,4,1,3,2
2,5,2,2,28,3,3,3,2,2,3,2,2,3,2,1,150,6,0,0,2
2,3,2,2,74,3,3,3,2,2,3,2,2,3,0,1,90,2,1,1,2
1,3,2,1,82,2,1,2,1,5,3,3,1,2,-5,1,100,4,1000,4,1
1,5,2,1,38,3,3,4,1,2,2,1,2,3,0,1,80,4,5,0,1
3,3,3,2,60,2,2,3,1,4,3,2,3,2,0,1,119,4,0,-1,2
3,4,2,2,85,2,2,1,2,3,3,3,1,2,0,1,35,3,0,9,3
1,3,2,2,56,4,4,4,1,4,5,3,2,1,3,1,110,3,1,-1,4
2,4,2,2,61,3,3,3,2,2,3,2,2,3,0,2,119,3,1,1,2
2,3,2,2,59,3,3,3,2,2,3,2,2,3,0,2,100,3,5,1,2
2,4,3,2,64,3,3,2,2,3,4,2,2,3,0,1,106,3,3,0,2
2,4,2,2,59,3,3,3,2,2,3,2,2,3,0,2,120,1,1,1,2
2,2,2,2,79,3,3,3,2,2,3,2,2,3,1,2,50,3,0,1,2
2,2,2,2,80,3,3,3,2,2,3,2,2,3,1,2,100,3,0,1,2
3,5,2,3,62,3,4,4,2,3,4,1,2,3,-1,2,140,3,5,0,3
2,5,2,2,48,3,3,3,2,2,3,2,2,3,1,1,160,10,5,3,2
2,4,2,2,72,3,3,3,2,2,3,2,2,3,1,1,10,3,1,0,2
2,5,2,2,42,3,3,3,2,2,3,2,2,3,3,1,89,6,5,-7,2
2,4,2,2,55,3,3,3,2,2,3,2,2,3,0,1,58,6,3,-2,2
2,4,2,2,80,3,3,3,2,2,3,2,2,3,-1,2,71,1,0,1,2
2,3,4,3,56,2,3,2,3,4,5,1,3,2,-2,2,123,4,1,-1,2
4,2,4,4,62,4,4,1,4,4,1,6,2,3,3,2,119,6,1000,1,4
2,5,2,2,61,3,3,3,2,2,3,2,2,3,4,2,119,6,1,3,2
2,5,2,2,66,3,3,3,2,2,3,2,2,3,0,1,200,6,1,-1,2
2,1,2,2,52,3,3,3,2,2,3,2,2,3,4,1,40,6,0,-1,2
2,5,2,2,58,3,3,3,2,2,3,2,2,3,-1,2,300,3,9,1,2
2,4,2,2,48,3,3,3,2,2,3,2,2,3,1,1,210,6,8,1,2
2,4,2,2,70,3,3,3,2,2,3,2,2,3,0,2,120,6,0,-3,2
2,2,2,2,70,3,3,3,2,2,3,2,2,3,1,2,119,4,0,0,2
2,3,2,2,55,3,3,3,2,2,3,2,2,3,0,1,263,6,8,0,2
1,5,1,1,66,3,3,5,1,2,2,1,3,3,1,1,200,3,0,1,1
1,3,2,4,72,4,4,2,3,3,2,3,2,1,1,2,73,1,2,1,1
2,4,2,2,56,3,3,3,2,2,3,2,2,3,-1,1,140,4,3,1,2
2,5,4,2,68,2,3,4,2,1,4,3,2,4,3,2,120,3,0,0,2
2,4,2,2,60,3,3,3,2,2,3,2,2,3,1,2,200,1,0,2,2
2,5,2,2,54,3,3,3,2,2,3,2,2,3,1,2,119,4,0,0,2
2,4,2,2,66,3,3,3,2,2,3,2,2,3,0,2,70,6,4,-1,2
2,4,2,2,62,3,3,3,2,2,3,2,2,3,0,2,119,4,1000,0,2
2,4,2,2,61,3,3,3,2,2,3,2,2,3,1,2,160,3,1,1,2
2,5,2,2,26,3,3,3,2,2,3,2,2,3,0,2,119,13,0,1,2
2,5,2,2,66,3,3,3,2,2,3,2,2,3,-2,1,62,6,12,1,2
2,4,2,2,45,3,3,3,2,2,3,2,2,3,-1,1,35,5,1000,-1,2
2,4,2,2,70,4,4,3,2,2,2,3,2,3,1,2,135,6,1,1,2
2,5,2,2,67,3,3,3,2,2,3,2,2,3,0,2,40,4,0,5,2
2,5,2,2,78,3,3,3,2,2,3,2,2,3,0,2,119,3,2,0,2
2,2,2,2,48,3,3,3,2,2,3,2,2,3,0,1,160,4,1000,-6,2
2,5,2,2,50,3,3,3,2,2,3,2,2,3,1,2,600,4,0,1,2
2,5,2,2,83,3,3,3,2,2,3,2,2,3,0,1,119,6,1,1,2
3,4,1,2,73,4,4,1,5,2,3,4,2,4,-1,1,71,7,5,-2,1
2,4,2,2,54,3,3,3,2,2,3,2,2,3,1,2,119,1,1000,1,2
2,5,2,2,80,3,3,3,2,2,3,2,2,3,0,2,80,4,3,0,2
2,3,2,2,69,3,3,3,2,2,3,2,2,3,0,2,170,1,1000,0,2
2,1,1,2,86,2,1,4,3,1,1,1,4,2,2,2,119,1,2,2,2
2,5,2,2,55,3,3,3,2,2,3,2,2,3,0,1,114,4,4,0,2
2,4,3,3,42,3,3,2,2,3,4,3,3,3,0,1,133,12,20,0,3
2,2,2,2,52,3,3,3,2,2,3,2,2,3,1,2,130,4,0,1,2
2,4,2,2,58,2,3,3,2,3,2,1,2,3,1,2,119,1,0,1,1
2,5,2,2,68,3,3,3,2,2,3,2,2,3,2,2,80,3,0,0,2
1,5,2,1,74,2,4,3,1,3,2,1,2,3,-1,2,51,1,0,1,1
2,3,2,2,68,3,3,3,2,2,3,2,2,3,0,1,70,4,3,0,2
2,5,2,2,72,3,3,3,2,2,3,2,2,3,2,2,110,6,3,1,2
2,4,2,2,36,3,3,3,2,2,3,2,2,3,2,1,70,12,5,-2,2
2,4,2,1,35,2,2,3,2,2,4,2,2,1,1,2,107,11,9,1,2
3,4,2,2,67,2,2,2,2,2,5,4,2,3,0,2,87,6,0,0,3
2,4,2,2,78,2,2,2,2,2,3,3,2,4,2,1,157,3,5,2,2
2,3,2,2,59,3,3,3,2,2,3,2,2,3,-1,2,135,1,0,1,2
2,5,2,2,53,3,3,3,2,2,3,2,2,3,-1,2,120,4,6,-1,2
2,5,2,2,87,3,3,3,2,2,3,2,2,3,1,2,119,3,4,4,2
1,3,1,1,54,3,4,2,1,1,1,1,2,4,5,2,128,9,0,-5,1
2,5,2,2,62,3,3,3,2,2,3,2,2,3,0,1,80,6,5,-1,2
2,4,2,2,31,3,3,3,2,2,3,2,2,3,2,1,150,7,5,2,2
3,4,2,2,61,3,3,3,3,2,2,3,2,2,1,2,240,4,1000,1,3
2,4,2,2,38,3,3,3,2,2,3,2,2,3,0,2,101,10,6,-1,2
1,5,2,1,78,2,2,2,2,2,2,2,2,1,-1,2,14,7,5,-4,1
1,5,1,1,68,3,2,3,1,1,1,1,1,4,0,1,130,9,5,-1,1
1,4,1,3,31,1,3,5,1,3,3,3,2,3,1,2,120,13,80,2,3
1,5,3,2,33,3,3,5,1,2,3,3,2,2,1,1,120,11,10,1,1
2,4,2,2,29,3,3,3,2,2,3,2,2,3,1,2,80,6,6,0,2
2,5,2,2,46,3,3,3,2,2,3,2,2,3,0,2,120,7,1000,0,2
2,5,2,2,60,3,3,3,2,2,3,2,2,3,0,1,120,4,1000,0,2
3,3,3,3,43,1,1,2,3,4,3,3,1,1,0,2,80,4,0,2,3
1,5,1,1,64,2,4,4,2,1,2,3,3,2,0,2,80,4,6,-3,1
2,4,2,2,32,3,3,3,2,2,3,2,2,3,2,1,60,13,10,3,2
2,5,2,2,47,3,3,3,2,2,3,2,2,3,2,2,125,3,0,1,2
2,4,2,2,61,3,3,3,2,2,3,2,2,3,1,2,170,6,0,1,2
2,5,2,2,76,3,3,3,2,2,3,2,2,3,3,2,57,6,2,0,2
2,4,2,2,75,3,3,3,2,2,3,2,2,3,0,1,47,6,6,-2,2
2,4,2,4,78,2,4,1,4,2,3,3,1,2,1,2,72,1,0,1,2
2,1,2,2,43,4,4,2,2,4,2,3,3,3,1,1,90,4,10,2,3
2,4,2,2,76,3,3,2,3,1,4,1,1,4,0,1,65,3,5,4,2
3,2,2,2,88,4,2,2,4,4,4,3,4,4,0,2,76,4,4,0,3
2,5,2,2,49,3,3,3,2,2,3,2,2,3,0,1,60,4,30,0,2
3,3,3,2,67,3,4,2,2,3,3,1,3,3,0,1,30,6,10,0,2
2,4,2,2,55,3,3,3,2,2,3,2,2,3,2,2,200,4,4,2,2
2,2,2,2,48,3,3,3,2,2,3,2,2,3,9,1,30,7,0,0,2
1,4,1,1,77,2,2,2,1,2,4,1,2,3,0,2,75,3,4,1,2
2,3,2,2,29,3,3,3,2,2,3,2,2,3,2,1,100,10,7,1,2
2,4,2,2,38,3,3,3,2,2,3,2,2,3,2,1,143,10,15,1,2
2,3,2,2,51,3,3,3,2,2,3,2,2,3,1,1,105,10,15,2,2
2,5,2,2,80,3,3,3,2,2,3,2,2,3,2,1,67,4,5,2,2
2,4,2,2,55,3,3,3,2,2,3,2,2,3,1,1,45,4,3,1,2
1,3,1,2,84,1,1,4,1,2,4,3,2,3,0,2,52,3,4,6,1
2,4,2,2,29,3,3,3,2,2,3,2,2,3,-2,1,100,10,1000,2,2
2,5,2,2,61,4,4,3,2,3,4,3,2,3,2,1,105,4,1000,1,2
2,3,2,2,79,3,3,3,2,2,3,2,2,3,0,1,195,1,1,-1,2
2,5,2,2,56,3,3,3,2,2,3,2,2,3,1,2,240,3,1,4,2
3,3,1,2,59,3,4,1,3,3,1,2,3,2,2,2,270,4,2,1,3
2,4,2,2,76,2,2,5,2,2,2,3,2,3,2,2,119,3,1000,2,2
1,5,1,1,62,1,2,4,1,1,5,1,2,3,-1,2,120,6,0,-1,1
4,1,2,2,56,4,2,2,4,4,3,2,3,4,0,2,200,3,0,0,4
3,1,2,2,78,1,1,3,3,3,5,1,1,4,1,2,10,1,0,1,4
2,2,2,2,73,3,3,3,2,2,3,2,2,3,0,2,95,3,0,0,2
1,3,2,1,51,2,4,4,1,3,4,1,3,3,1,2,160,5,1000,-1,1
1,5,2,1,54,1,4,3,1,4,3,1,2,3,2,1,190,4,5,0,3
2,5,2,2,70,3,3,3,2,2,3,2,2,3,1,1,200,4,2,1,2
2,1,2,2,83,3,3,3,2,2,3,2,2,3,0,2,119,1,0,0,2
2,3,2,2,50,3,3,3,2,2,3,2,2,3,0,2,124,4,0,0,2
2,5,2,2,69,3,3,3,2,2,3,2,2,3,1,2,119,3,0,1,2
2,5,1,3,63,1,2,1,3,2,1,3,3,3,0,2,250,6,0,4,2
2,3,2,2,78,3,3,3,2,2,3,2,2,3,0,2,119,4,0,-4,2
2,5,2,2,85,3,3,3,2,2,3,2,2,3,0,1,119,1,0,1,2
2,3,2,2,61,3,3,3,2,2,3,2,2,3,-4,2,130,3,5,-1,2
2,5,2,2,63,3,3,3,2,2,3,2,2,3,1,1,210,6,3,1,2
2,5,2,2,68,3,3,3,2,2,3,2,2,3,0,2,120,3,0,2,2
1,3,2,4,62,2,3,2,4,4,1,3,3,3,0,2,120,3,1,0,3
2,3,2,2,53,3,3,3,2,2,3,2,2,3,-3,2,230,3,0,-1,2
2,4,2,2,30,3,3,3,2,2,3,2,2,3,3,1,75,7,5,-1,2
2,2,2,2,76,3,3,3,2,2,3,2,2,3,-1,2,300,2,0,-1,2
2,3,2,2,78,3,3,3,2,2,3,2,2,3,1,1,240,3,2,1,2
2,5,2,2,80,3,3,3,2,2,3,2,2,3,0,2,196,4,3,0,2
2,5,2,2,73,3,3,3,2,2,3,2,2,3,-1,1,66,4,6,1,2
2,3,2,2,25,3,3,3,2,2,3,2,2,3,2,2,40,12,0,1,2
2,5,2,2,30,3,3,3,2,2,3,2,2,3,2,2,40,13,5,3,2
2,4,2,2,48,3,3,3,2,2,3,2,2,3,-1,1,100,9,10,1,2
2,4,1,3,73,1,2,3,2,2,5,3,3,2,1,2,119,1,0,2,2
2,3,2,2,57,3,3,3,2,2,3,2,2,3,0,1,350,4,1,1,2
3,4,2,2,72,3,3,3,2,2,2,3,2,2,0,2,200,1,0,1,3
2,5,2,2,78,3,3,3,2,2,3,2,2,3,0,1,119,3,4,1,2
2,4,2,2,66,2,2,3,2,2,3,1,2,3,0,2,300,1,0,1,2
2,5,2,2,64,3,3,3,2,2,3,2,2,3,0,2,104,4,2,1,2
2,3,2,2,57,3,3,3,2,2,3,2,2,3,2,2,153,4,2,3,2
1,5,3,1,49,3,3,2,1,4,1,2,4,3,0,2,20,4,1,0,1
2,5,2,2,69,3,3,3,2,2,3,2,2,3,0,1,200,6,10,0,2
2,5,2,2,23,3,3,3,2,2,3,2,2,3,0,1,80,7,0,1,2
2,3,2,2,49,3,3,3,2,2,3,2,2,3,1,2,80,6,1,1,2
1,3,1,2,61,2,4,2,1,2,5,1,2,3,4,2,100,3,0,0,2
3,5,3,2,62,1,1,2,2,3,5,3,2,3,2,2,48,4,2,0,3
2,3,2,2,46,3,3,3,2,2,3,2,2,3,2,1,103,5,3,-2,2
2,4,2,2,71,3,3,3,2,2,3,2,2,3,0,1,70,10,6,1,2
2,5,2,2,54,3,3,3,2,2,3,2,2,3,1,1,65,4,6,0,2
2,3,2,2,36,3,3,3,2,2,3,2,2,3,0,2,100,4,10,5,2
2,5,2,2,39,3,3,3,2,2,3,2,2,3,1,2,200,10,6,1,2
2,5,2,2,25,3,3,3,2,2,3,2,2,3,2,1,119,9,1000,0,2
2,5,2,2,49,3,3,3,2,2,3,2,2,3,1,1,90,4,40,0,2
2,2,2,2,73,3,3,3,2,2,3,2,2,3,3,2,119,3,0,4,2
4,2,3,2,78,2,3,1,3,3,2,1,3,3,0,2,60,3,1000,5,3
2,3,2,2,56,3,3,3,2,2,3,2,2,3,2,2,192,3,0,3,2
2,5,2,2,69,3,3,3,2,2,3,2,2,3,2,1,120,4,1,0,2
2,3,2,2,67,3,3,3,2,2,3,2,2,3,3,2,119,3,1000,2,2
2,5,2,2,71,3,3,3,2,2,3,2,2,3,-1,1,60,3,3,0,2
2,4,2,2,56,3,3,3,2,2,3,2,2,3,2,1,120,3,3,2,2
2,5,2,2,62,3,3,3,2,2,3,2,2,3,0,1,300,4,2,4,2
2,2,3,3,103,3,4,2,3,3,5,3,4,3,1,2,119,1,1,1,3
2,4,2,2,71,3,3,3,2,2,3,2,2,3,0,2,100,3,0,3,2
2,5,2,2,56,3,3,3,2,2,3,2,2,3,0,2,350,4,0,-2,2
2,5,2,2,41,3,3,3,2,2,3,2,2,3,2,2,240,4,0,-3,2
1,5,1,1,63,1,1,2,1,1,5,3,3,3,0,2,190,6,10,3,1
2,4,2,2,68,3,3,3,2,2,3,2,2,3,2,2,200,1,0,2,2
3,4,3,4,78,2,3,1,4,4,2,4,1,3,1,2,119,1,0,2,3
2,2,2,2,76,3,3,3,2,2,3,2,2,3,0,2,119,3,0,0,2
2,1,2,2,68,3,3,3,2,2,3,2,2,3,1,1,110,6,6,0,2
2,3,1,2,74,2,2,3,2,1,5,2,2,2,0,2,200,3,4,0,2
2,5,2,2,35,3,3,3,2,2,3,2,2,3,2,2,119,10,1000,0,2
2,1,2,2,60,3,3,3,2,2,3,2,2,3,-1,2,140,3,0,0,2
2,3,2,2,35,3,3,3,2,2,3,2,2,3,0,1,190,6,3,0,2
2,2,2,2,67,3,3,3,2,2,3,2,2,3,0,1,500,4,5,-6,2
4,3,2,2,72,4,3,2,1,4,1,3,2,2,1,2,119,4,3,0,4
2,3,2,2,83,3,3,3,2,2,3,2,2,3,0,2,119,3,3,-2,2
2,3,2,1,74,1,1,1,3,4,2,3,1,3,0,2,119,4,3,0,1
1,5,1,1,62,3,4,5,1,1,1,1,2,2,0,1,240,4,1,0,1
1,5,2,1,60,4,4,5,1,2,1,1,1,3,0,2,150,1,0,-1,1
2,5,2,2,54,3,3,3,2,2,3,2,2,3,0,2,150,4,1,-2,2
1,5,1,1,61,3,4,5,1,1,5,1,1,4,-4,1,220,5,1,0,1
2,3,2,2,62,3,3,3,2,2,3,2,2,3,0,2,98,6,2,3,2
2,5,2,2,61,3,3,3,2,2,3,2,2,3,0,2,80,7,2,-3,2
2,5,2,2,32,3,3,3,2,2,3,2,2,3,3,2,90,9,3,0,2
2,5,2,2,72,3,3,3,2,2,3,2,2,3,2,2,400,3,3,2,2
2,5,2,2,67,3,3,3,2,2,3,2,2,3,0,1,110,4,3,2,2
2,5,2,2,67,3,3,3,2,2,3,2,2,3,1,1,280,11,10,2,2
2,4,1,2,68,4,1,4,1,1,4,1,1,3,1,2,119,4,3,2,2
2,5,2,2,68,3,3,3,2,2,3,2,2,3,-1,1,300,6,2,0,2
2,2,2,2,55,3,3,3,2,2,3,2,2,3,3,1,270,4,2,-3,2
2,3,2,2,68,3,3,3,2,2,3,2,2,3,1,1,300,4,1,-2,2
2,2,2,2,74,3,3,3,2,2,3,2,2,3,1,1,150,3,3,-5,2
2,5,1,1,54,4,4,4,2,1,3,1,2,2,0,1,270,4,5,2,2
2,5,2,2,72,3,3,3,2,2,3,2,2,3,0,1,270,4,1,2,2
2,5,2,2,80,3,3,3,2,2,3,2,2,3,1,1,288,3,1,1,2
3,3,3,1,59,1,4,2,3,2,3,1,2,3,0,2,119,4,0,1,2
1,5,2,2,84,3,3,1,3,4,2,2,2,2,1,2,119,1,1000,1,1
2,5,2,2,62,3,3,3,2,2,3,2,2,3,0,1,119,4,0,0,2
2,4,2,2,26,3,3,3,2,2,3,2,2,3,2,1,119,12,0,1,2
2,3,2,1,41,3,3,3,1,2,2,1,2,2,0,2,119,7,0,0,2
2,5,2,2,54,3,3,3,2,2,3,2,2,3,0,1,120,4,2,0,2
2,4,2,2,60,3,3,3,2,2,3,2,2,3,3,2,65,3,0,2,2
4,2,2,5,57,4,4,1,3,2,1,6,3,2,1,1,160,3,0,-2,5
2,5,2,2,28,3,3,3,2,2,3,2,2,3,1,2,119,5,4,-1,2
2,2,2,2,54,3,3,3,2,2,3,2,2,3,0,2,150,1,0,0,2
2,1,2,2,87,3,3,3,2,2,3,2,2,3,0,1,100,4,4,-1,2
2,3,3,2,57,3,4,2,2,4,1,2,2,1,0,1,110,4,0,-1,2
2,3,2,2,55,3,3,3,2,2,3,2,2,3,3,1,125,3,1,4,2
2,5,2,2,75,3,3,3,2,2,3,2,2,3,4,1,155,3,7,2,2
2,5,2,2,33,3,3,3,2,2,3,2,2,3,0,2,310,4,0,4,2
1,3,4,1,29,4,4,5,1,1,2,1,2,3,1,1,120,4,6,0,1
2,5,2,2,67,3,3,3,2,2,3,2,2,3,-1,1,252,4,1,-3,2
2,1,2,2,71,3,3,3,2,2,3,2,2,3,0,2,130,3,0,-1,2
2,3,2,2,48,3,3,3,2,2,3,2,2,3,0,1,110,3,4,0,2
2,1,2,2,22,3,3,3,2,2,3,2,2,3,4,2,119,6,0,1,2
2,1,2,2,80,3,3,3,2,2,3,2,2,3,0,1,150,3,1,1,2
3,4,2,1,60,4,4,1,3,4,3,3,4,2,0,2,220,4,0,-6,1
2,5,2,2,62,3,3,3,2,2,3,2,2,3,1,1,180,3,4,1,2
2,1,2,2,80,3,3,3,2,2,3,2,2,3,0,1,124,3,0,-2,2
1,1,1,5,88,4,4,1,5,1,2,4,3,3,-1,2,125,1,1000,-2,1
2,1,2,2,51,3,3,3,2,2,3,2,2,3,-1,1,300,3,3,1,2
2,1,2,2,50,3,3,3,2,2,3,2,2,3,0,2,142,3,0,0,2
2,5,2,2,31,3,3,3,2,2,3,2,2,3,1,2,128,11,14,2,2
2,4,2,2,71,3,3,3,2,2,3,2,2,3,1,1,96,3,4,1,2
1,5,1,1,26,3,3,4,1,1,1,1,2,3,4,1,125,6,1000,0,1
2,3,2,2,81,3,3,3,2,2,3,2,2,3,0,1,420,6,0,2,2
2,5,2,2,27,3,3,3,2,2,3,2,2,3,5,1,100,12,1,1,2
1,5,2,3,26,3,3,2,1,2,3,3,2,3,3,1,500,12,0,3,1
2,2,2,2,36,3,3,3,2,2,3,2,2,3,2,2,80,11,3,0,2
2,3,2,2,35,3,3,3,2,2,3,2,2,3,3,2,110,10,15,2,2
2,3,2,2,52,3,3,3,2,2,3,2,2,3,5,1,100,3,1,-4,2
2,3,2,2,62,3,3,3,2,2,3,2,2,3,1,2,100,3,0,0,2
2,4,2,2,47,3,3,3,2,2,3,2,2,3,0,1,140,4,2,0,2
4,2,2,3,54,4,4,1,4,3,3,1,3,3,1,2,119,3,0,0,3
2,5,2,2,39,3,3,3,2,2,3,2,2,3,1,1,100,4,20,2,2
2,3,2,2,80,3,3,3,2,2,3,2,2,3,1,2,119,3,0,1,2
2,5,2,2,79,3,3,3,2,2,3,2,2,3,-1,2,300,3,0,1,2
1,2,3,3,35,4,4,4,2,3,5,4,3,3,9,2,119,7,0,0,3
2,3,3,3,60,4,4,1,3,2,3,1,2,4,-1,1,130,6,2,-2,2
4,2,4,5,59,4,4,1,4,4,1,3,3,3,1,2,119,1,0,1,4
2,2,2,2,67,3,3,3,2,2,3,2,2,3,-1,1,120,4,0,0,2
2,2,4,2,22,2,3,3,2,2,1,3,3,3,2,2,125,6,0,1,2
2,3,2,2,46,3,3,3,2,2,3,2,2,3,1,2,100,4,0,2,2
3,3,3,3,59,4,3,2,3,3,1,1,3,4,-2,2,125,3,0,-1,3
2,3,2,2,42,3,3,3,2,2,3,2,2,3,2,2,300,4,8,3,2
1,3,3,1,34,1,1,2,1,3,5,3,3,2,2,1,120,7,5,1,1
2,5,2,2,62,3,3,3,2,2,3,2,2,3,1,2,250,6,0,0,2
2,5,2,2,62,3,3,3,2,2,3,2,2,3,0,1,200,7,8,0,2
2,5,1,2,49,3,3,3,2,2,3,2,3,3,0,2,280,6,2,0,3
2,5,1,3,49,3,3,4,2,3,3,2,3,3,1,2,280,6,2,0,3
1,5,1,3,40,3,3,5,1,1,3,1,2,3,1,2,110,4,0,3,1
1,5,4,1,57,4,2,2,1,4,3,1,4,2,1,1,130,4,3,3,2
4,4,2,2,47,4,4,2,4,4,3,1,4,2,6,2,80,1,1,3,4
2,5,2,2,23,3,3,3,2,2,3,2,2,3,3,1,119,5,0,2,2
1,5,1,1,72,2,1,2,1,2,4,3,2,3,0,1,58,3,7,0,1
2,4,2,2,22,3,3,3,2,2,3,2,2,3,4,1,119,6,1000,3,2
2,5,2,2,55,3,3,3,2,2,3,2,2,3,-2,2,119,4,1,4,2
2,4,2,2,40,3,3,3,2,2,3,2,2,3,1,2,120,7,3,3,2
2,5,2,2,70,3,3,3,2,2,3,2,2,3,2,1,144,9,10,1,2
2,5,2,2,71,3,3,3,2,2,3,2,2,3,1,1,50,6,5,2,2
1,4,2,2,54,4,4,2,1,2,3,1,2,4,1,2,50,4,4,1,1
2,4,1,2,92,4,3,2,3,2,3,1,2,3,0,2,50,3,0,0,2
1,4,2,1,58,2,2,3,1,2,1,3,2,3,1,2,100,3,0,1,1
1,4,1,1,70,1,1,2,1,2,3,1,2,3,0,1,300,6,5,0,1
5,2,4,1,72,2,2,1,5,4,1,4,2,3,1,2,119,3,0,1,5
1,2,2,2,61,1,2,5,1,2,1,3,1,3,0,2,119,3,0,2,1
2,4,2,2,34,3,3,3,2,2,3,2,2,3,1,2,103,11,7,1,2
1,4,2,1,32,2,3,2,1,2,1,3,1,2,2,2,30,12,1000,0,2
2,5,2,2,30,3,3,2,2,2,2,3,2,4,4,1,98,10,1000,0,2
2,4,2,2,72,3,3,3,2,2,3,2,2,3,0,1,180,4,1000,0,2
2,5,2,2,68,2,2,4,2,2,4,2,4,3,0,2,119,4,1000,0,2
2,4,2,2,58,3,3,3,2,2,3,2,2,3,0,1,120,4,4,0,2
2,4,2,2,60,3,3,3,2,2,3,2,2,3,1,2,119,1,0,1,2
2,5,2,2,67,3,3,3,2,2,3,2,2,3,2,2,54,7,5,-2,2
1,5,2,1,66,3,3,3,1,4,4,4,3,3,2,2,55,6,5,-2,1
1,5,2,1,57,3,3,3,1,2,5,3,2,3,4,1,119,3,2,0,1
2,3,2,2,80,3,3,3,2,2,3,2,2,3,1,1,130,3,0,1,2
2,3,2,2,61,3,3,3,2,2,3,2,2,3,1,2,119,1,4,3,2
2,5,2,2,78,3,3,3,2,2,3,2,2,3,1,2,116,6,6,0,2
2,3,2,2,62,3,3,3,2,2,3,2,2,3,2,2,100,3,0,2,2
2,4,2,2,93,3,3,3,2,2,3,2,2,3,2,2,40,1,2,2,2
2,3,3,2,24,2,2,5,2,2,3,1,1,3,-2,1,119,5,0,3,2
2,4,2,2,68,3,3,3,2,2,3,2,2,3,1,2,120,1,0,1,2
3,2,3,1,78,2,2,2,2,3,3,3,2,3,0,2,55,4,4,0,3
2,5,2,2,55,3,3,3,2,2,3,2,2,3,2,2,119,4,5,2,2
1,4,2,2,28,3,2,3,2,1,2,2,2,3,2,2,60,10,8,0,2
2,1,2,2,60,3,3,3,2,2,3,2,2,3,0,2,135,3,0,1,2
2,5,2,2,66,3,3,3,2,2,3,2,2,3,2,2,50,4,2,2,2
2,2,2,2,89,3,3,3,2,2,3,2,2,3,3,2,50,2,5,0,2
2,4,2,2,64,3,3,3,2,2,3,2,2,3,0,2,60,6,1000,0,2
2,5,2,2,72,3,3,3,2,2,3,2,2,3,0,2,47,4,0,-4,2
2,4,2,2,70,3,3,3,2,2,3,2,2,3,0,2,119,4,1000,0,2
2,5,3,4,80,2,2,2,4,4,1,3,2,3,1,2,60,1,1000,1,2
