EBD,DMF,EI,LSI,AGE,HSAA,HFA,SRH,PHL,DV,UWHF,MUF,SD,ST,EPK,GEN,LSC,EDU,PAI,PSM,Y
1,5,2,1,57,1,4,2,1,4,5,1,2,4,0,1,40,4,2,0,1
4,3,1,5,61,3,3,2,5,3,1,2,2,1,-1,1,120,4,0,-1,4
2,5,2,2,35,3,3,3,2,2,3,2,2,3,1,1,86,10,15,0,2
5,1,3,5,71,4,4,1,5,4,1,3,2,3,5,2,60,1,0,0,5
2,5,2,2,34,3,3,3,2,2,3,2,2,3,2,2,90,4,12,3,2
2,3,2,2,49,3,3,3,2,2,3,2,2,3,4,2,90,3,2,0,2
2,3,2,2,53,3,3,3,2,2,3,2,2,3,0,2,140,4,0,0,2
2,3,2,2,60,3,3,3,2,2,3,2,2,3,1,2,10,1,1,1,2
4,1,3,4,63,4,4,2,4,4,2,5,3,3,0,2,99,6,3,0,4
2,4,2,2,71,3,3,3,2,2,3,2,2,3,0,2,122,6,4,0,2
2,5,2,2,63,3,3,3,2,2,3,2,2,3,2,1,66,11,1000,2,2
2,5,2,2,51,3,3,3,2,2,3,2,2,3,0,1,102,10,5,0,2
2,5,2,2,70,3,3,3,2,2,3,2,2,3,0,1,86,6,2,0,2
2,5,2,2,35,3,3,3,2,2,3,2,2,3,2,2,86,7,10,2,2
2,2,2,2,77,3,3,3,2,2,3,2,2,3,-1,2,35,3,0,-1,2
1,5,1,1,54,1,1,5,1,1,3,3,1,4,0,2,300,4,5,0,1
2,4,2,2,55,3,3,3,2,2,3,2,2,3,3,2,200,3,3,1,2
2,4,2,2,38,3,3,3,2,2,3,2,2,3,1,2,85,11,2,1,2
2,4,2,2,52,3,3,3,2,2,3,2,2,3,1,2,134,11,8,1,2
2,5,2,2,71,3,3,3,2,2,3,2,2,3,1,2,180,10,6,2,2
2,4,2,2,74,3,3,3,2,2,3,2,2,3,1,2,150,4,1,2,2
2,3,2,2,60,3,3,3,2,2,3,2,2,3,0,2,100,3,0,0,2
2,4,2,2,29,3,3,3,2,2,3,2,2,3,1,2,50,13,8,0,2
2,4,2,2,47,3,3,3,2,2,3,2,2,3,0,1,120,10,1000,2,2
2,5,2,2,46,3,3,3,2,2,3,2,2,3,-2,1,130,10,30,3,2
2,2,2,2,76,3,3,3,2,2,3,2,2,3,0,2,100,3,0,1,2
2,2,2,2,53,4,4,4,2,1,5,3,2,3,1,2,120,3,7,0,3
3,3,3,3,71,4,3,2,3,3,2,3,2,3,2,1,100,7,5,1,3
1,4,1,1,69,3,1,4,1,1,2,2,2,3,0,1,100,4,4,2,1
1,5,1,5,83,1,2,3,3,1,2,3,1,4,-5,2,39,3,4,6,1
2,5,2,2,72,3,3,3,2,2,3,2,2,3,2,2,40,3,8,-1,2
2,5,2,3,55,3,3,5,1,2,4,1,3,2,0,1,106,10,6,0,2
1,5,1,1,72,2,4,2,1,1,3,1,1,1,1,2,90,1,0,1,1
1,3,2,1,70,3,4,2,2,4,1,2,2,3,0,1,120,6,1,0,2
2,5,2,2,22,3,3,3,2,2,3,2,2,3,1,1,90,6,0,1,2
1,5,2,1,52,3,1,4,1,2,3,3,2,4,0,1,181,11,800,0,1
2,3,2,2,42,3,3,3,2,2,3,2,2,3,0,2,100,12,3,0,2
2,2,2,2,68,3,3,3,2,2,3,2,2,3,-1,1,96,1,0,-8,2
2,4,2,2,50,3,3,3,2,2,3,2,2,3,0,1,120,3,3,1,2
2,5,2,2,66,3,3,3,2,2,3,2,2,3,0,2,100,4,6,0,2
2,5,2,2,49,3,3,3,2,2,3,2,2,3,1,2,110,4,3,-4,2
2,3,4,2,32,3,3,2,2,2,3,3,2,4,1,2,160,3,2,1,2
2,3,2,3,72,2,2,3,2,3,1,1,2,3,0,2,110,1,1,1,2
2,4,2,2,74,3,3,3,2,2,3,2,2,3,0,2,112,1,0,1,2
1,5,1,1,62,1,1,2,2,1,3,2,2,3,1,2,200,4,6,2,1
2,4,1,2,87,2,1,3,2,2,1,3,2,2,0,1,80,5,6,0,2
2,5,2,2,77,3,3,3,2,2,3,2,2,3,1,2,150,1,0,1,2
1,3,1,3,83,1,1,2,3,3,2,2,2,4,-4,2,109,1,1,0,1
2,5,2,2,34,3,3,3,2,2,3,2,2,3,0,1,119,10,18,2,2
3,2,3,1,73,4,4,1,3,3,1,3,4,1,3,2,119,1,0,1,4
2,4,2,2,39,3,3,3,2,2,3,2,2,3,0,1,40,4,7,1,2
